Frequency,Contrast,Effort
50,4.4841,-6.1071
100,7.3118,-5.0872
150,10.3864,-5.4299
200,13.0874,-6.2136
250,15.2782,-7.0346
300,17.0019,-7.7565
350,18.3560,-8.3416
400,19.4512,-8.7875
450,20.3970,-9.1047
500,21.2999,-9.3095
550,22.2658,-9.4208
600,23.4071,-9.4591
650,24.8542,-9.4458
700,26.7748,-9.4021
750,29.4042,-9.3470
800,33.0013,-9.2953
850,36.5788,-9.2563
900,35.3020,-9.2332
950,31.8678,-9.2246
1000,29.3459,-9.2255
1050,27.7193,-9.2300
1100,26.7610,-9.2323
1150,26.3352,-9.2288
1200,26.3753,-9.2176
1250,26.8612,-9.1991
1300,27.8105,-9.1750
1350,29.2806,-9.1477
1400,31.3799,-9.1192
1450,34.2529,-9.0908
1500,37.7025,-9.0630
1550,39.1695,-9.0355
1600,36.8021,-9.0076
1650,34.0980,-8.9787
1700,32.1713,-8.9485
1750,30.9434,-8.9171
1800,30.2770,-8.8849
1850,30.0867,-8.8524
1900,30.3279,-8.8202
1950,30.9829,-8.7886
2000,32.0513,-8.7574
2050,33.5341,-8.7260
2100,35.3816,-8.6938
2150,37.3189,-8.6599
2200,38.5417,-8.6238
2250,38.2340,-8.5855
2300,36.9120,-8.5452
2350,35.5023,-8.5037
2400,34.3891,-8.4618
2450,33.6439,-8.4205
2500,33.2520,-8.3804
2550,33.1834,-8.3415
2600,33.4092,-8.3037
2650,33.9016,-8.2664
2700,34.6286,-8.2286
2750,35.5401,-8.1896
2800,36.5428,-8.1490
2850,37.4649,-8.1067
2900,38.0557,-8.0629
2950,38.1092,-8.0181
3000,37.6503,-7.9732
3050,36.9100,-7.9287
3100,36.1299,-7.8851
3150,35.4629,-7.8426
3200,34.9861,-7.8009
3250,34.7358,-7.7596
3300,34.7308,-7.7182
3350,34.9836,-7.6763
3400,35.5009,-7.6337
3450,36.2716,-7.5903
3500,37.2336,-7.5464
3550,38.2048,-7.5023
3600,38.8270,-7.4584
3650,38.7412,-7.4150
3700,37.9859,-7.3722
3750,36.9511,-7.3299
3800,35.9794,-7.2879
3850,35.2420,-7.2461
3900,34.8066,-7.2042
3950,34.7009,-7.1624
4000,34.9393,-7.1206
4050,35.5227,-7.0792
4100,36.4098,-7.0383
4150,37.4419,-6.9980
4200,38.2388,-6.9583
4250,38.3088,-6.9190
4300,37.5760,-6.8796
4350,36.4789,-6.8400
4400,35.4401,-6.8003
4450,34.6628,-6.7607
4500,34.2165,-6.7218
4550,34.1018,-6.6845
4600,34.2346,-6.6490
4650,34.3670,-6.6150
4700,34.0887,-6.5808
4750,33.1663,-6.5431
4800,31.8387,-6.4976
4850,30.4996,-6.4397
4900,29.3797,-6.3661
4950,28.5506,-6.2745
5000,28.0032,-6.1650
5050,27.6917,-6.0392
5100,27.5524,-5.9004
5150,27.5109,-5.7528
5200,27.4897,-5.6004
5250,27.4170,-5.4467
5300,27.2368,-5.2939
5350,26.9175,-5.1428
5400,26.4539,-4.9932
5450,25.8602,-4.8442
5500,25.1592,-4.6943
5550,24.3723,-4.5420
5600,23.5125,-4.3856
5650,22.5830,-4.2235
5700,21.5780,-4.0547
5750,20.4878,-3.8790
5800,19.3045,-3.6987
5850,18.0275,-3.5203
5900,16.6629,-3.3583
5950,15.2050,-3.2430
6000,13.5441,-3.2374
6050,11.1370,-3.4739
6100,7.2409,-4.0728
6150,3.7762,-4.6073
6200,2.1029,-4.7631
6250,1.4590,-4.7225
6300,1.3927,-4.5581
6350,1.9843,-4.1583
6400,3.8113,-3.4086
6450,5.9669,-3.0763
6500,7.5953,-3.1626
6550,8.9585,-3.3551
6600,10.1835,-3.5645
6650,11.3135,-3.7648
6700,12.3675,-3.9479
6750,13.3540,-4.1120
6800,14.2736,-4.2580
6850,15.1204,-4.3874
6900,15.8841,-4.5019
6950,16.5545,-4.6033
7000,17.1282,-4.6928
7050,17.6160,-4.7717
7100,18.0492,-4.8412
7150,18.4805,-4.9019
7200,18.9780,-4.9544
7250,19.6095,-4.9983
7300,20.4177,-5.0329
7350,21.3891,-5.0572
7400,22.4277,-5.0702
7450,23.3499,-5.0719
7500,23.9477,-5.0633
7550,24.1297,-5.0463
7600,23.9959,-5.0238
7650,23.7401,-4.9986
7700,23.5193,-4.9734
7750,23.4103,-4.9506
7800,23.4236,-4.9320
7850,23.5333,-4.9189
7900,23.7052,-4.9119
7950,23.9196,-4.9112
